43,stats_log,1,"Hallo, wohin wollen wir heute gehen?
","Hallo, wohin wollen wir heute gehen?",37,36.0,11.857000000000001,30.361811588091427
57,stats_log,1,"Du wirfst den Schweinen Perlen vor die füße.
",Du wirft,45,8.0,15.465,7.75945683802134
105,stats_log,1,"Die Fantasie von Kindern is unermesslich.
",Die Fantasie von Kindern ist unermesslich,42,41.0,31.593000000000004,11.394929256480866
146,stats_log,2,"Hallo, wohin wollen wir heute gehen?
","Hallo, wohin wolle wir heute gehen?",37,35.0,10.536,34.168564920273354
197,stats_log,2,"Du wirfst den Schweinen Perlen vor die füße.
",Du wirfst den schweinen Perlen vor die Füße.,45,44.0,27.121,17.698462446075002
237,stats_log,2,"Die Fantasie von Kindern is unermesslich.
",Die fantasie von Kindern ist unermesslich,42,41.0,38.152,9.43594044873139
286,stats_log,3,"Hallo, wohin wollen wir heute gehen?
","Hallo, wohin wollen wir heute gehen?",37,36.0,10.081,35.71074298184704
344,stats_log,3,"Du wirfst den Schweinen Perlen vor die füße.
",Du wirfst den Schweinen Perlen vor die Füße,45,43.0,21.945999999999998,21.87186731067165
395,stats_log,3,"Die Fantasie von Kindern is unermesslich.
",Di fanbtasie von kindern ist unermesslich,42,41.0,31.361,11.479225789993944
442,stats_log,4,"Hallo, wohin wollen wir heute gehen?
","Hallo, wohin wollen wir heute gehen?",37,36.0,10.0,36.0
501,stats_log,4,"Du wirfst den Schweinen Perlen vor die füße.
",Du wirfst den Schweinen Perlen vor die Füße,45,43.0,23.56,20.37351443123939
555,stats_log,4,"Die Fantasie von Kindern is unermesslich.
",Die Fantasie von Kindern ist unermesslich.,42,42.0,35.352,10.18329938900204
49,stats_log,5,"Hallo, wohin wollen wir heute gehen?
","Hallo, wohin wollen wir heute gehen?",37,36.0,10.249,35.12537808566689
123,stats_log,5,"Du wirfst den Schweinen Perlen vor die füße.
",Du wirfst den Schweinen Perlen vor die füße.,45,44.0,21.793000000000003,22.02542100674529
179,stats_log,5,"Die Fantasie von Kindern is unermesslich.
",Die Fantasie von Kindern ist unermesslich.,42,42.0,31.041,11.597564511452596
226,stats_log,6,"Hallo, wohin wollen wir heute gehen?
","Hallo, wohin wollen wir heute gehen?",37,36.0,9.847999999999999,36.555645816409424
293,stats_log,6,"Du wirfst den Schweinen Perlen vor die füße.
",Du wirfst den Schweinen Perlen vor die füße.,45,44.0,22.158,21.662604928242622
349,stats_log,6,"Die Fantasie von Kindern is unermesslich.
",Die Fantasie von Kindern ist unermesslich.,42,42.0,30.291,11.884718233138553
392,stats_log,7,"Hallo, wohin wollen wir heute gehen?
","Hallo, wohin wollen wir heute gehen?",37,36.0,10.972000000000001,32.81079110462997
458,stats_log,7,"Du wirfst den Schweinen Perlen vor die füße.
",Du wirfst den Schweinen Perlen vor die füße.,45,44.0,26.416,18.17080557238037
498,stats_log,7,"Die Fantasie von Kindern is unermesslich.
",Die Fantasie von Kindern ist unermesslich.,42,42.0,33.563,10.72609719035843
540,stats_log,8,"Hallo, wohin wollen wir heute gehen?
","Hallo, wohin wollen wir heute gehen?",37,36.0,10.777000000000001,33.404472487705306
599,stats_log,8,"Du wirfst den Schweinen Perlen vor die füße.
",Du wirfst den Schweinen Perlen vor die füße.,45,44.0,24.232,19.808517662594923
642,stats_log,8,"Die Fantasie von Kindern is unermesslich.
",Die Fantasie von Kindern ist unermesslich.,42,42.0,31.018,11.606164162744212
